internship_id,date_time,profile,company,location,start_date,stipend,duration,apply_by_date,offer,education,skills,perks
2025WSHP0014,9/27/2025 21:08,E-commerce Executive,SONU KUMAR KARN,Delhi,Immediately,"₹ 4,500 - 5,501 /month",1 Month,24 Oct' 25,Nothing,Not Specified,"Image Editing, Product Development","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025WSHP0015,9/27/2025 21:58,Video Editing & Graphic Designing,Hamari Pahchan NGO,Delhi,Immediately,"₹ 5,000 - 15,000 /month",3 Months,2 Oct' 25,Nothing,Not Specified,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Canva, English Proficiency (Spoken), English Proficiency (Written), Final Cut Pro, Graphic Design","Certificate, Flexible, Letter Of Recommendation"
2025WSHP0016,9/27/2025 23:11,Front End Development,InstaWeb Labs Private Limited,Mumbai,Immediately,"₹ 10,000 - 15,000 /month",6 Months,8 Oct' 25,Nothing,Not Specified,"AngularJS, CSS, HTML, JavaScript, Node.js, React, REST API","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025WSHP0017,9/28/2025 10:04,Social Media Content Creator- Video,Pixelstreet,Kolkata,Immediately,"₹ 6,000 - 12,000 /month",3 Months,18 Oct' 25,Nothing,Not Specified,"Digital Marketing, Digital Marketing Tools, Social Media Marketing, Video Making","Certificate, Mentorship, 5 Days A Week"
2025WSHP0018,9/27/2025 21:19,Financial Accountant,Valuechampions LLP,Gurgaon,Immediately,"₹ 3,000 - 7,000 /month",6 Months,18 Oct' 25,Nothing,"1. Candidate pursuing ACCA, CFA, CA (interested in Strategic Financial Management) is highly preferred.","Accounting, Financial Modeling, GST, Taxation, Valuation","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025WSHP0019,9/27/2025 23:17,Field Sales,Tisteps Private Limited,Chennai,Immediately,"₹ 30,000 - 40,000 /month",6 Months,31 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), Sales Strategy, Sales Support","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025WSHP0020,9/27/2025 22:33,Telecalling,Cars24 Services Private Limited,Mumbai,Immediately,"₹ 10,000 - 15,000 /month",6 Months,19 Oct' 25,Nothing,Not Specified,"Client Relationship, Cold Calling, Coordination, Inside Sales, Marathi Proficiency(Spoken), MS-Excel, Sales, Sales Support",Certificate
2025WSHP0021,9/27/2025 23:03,Content Writing,Houzeo,Thane,Immediately,"₹ 10,000 - 12,000 /month",3 Months,3 Oct' 25,Nothing,"1. Passion for writing and storytelling (a degree in English/Journalism is a plus, not mandatory).","Blogging, Creative Writing, English Proficiency (Written), Written Communication","Certificate, Flexible"
2025WSHP0022,9/27/2025 22:25,Customer Service/Customer Support,Vamaship,Thane,Immediately,"₹ 10,000 - 10,001 /month",6 Months,27 Oct' 25,Nothing,Not Specified,"E-commerce, Effective Communication, Interpersonal skills, Key Account Management, Logistics Management, MS-Excel",Letter Of Recommendation
2025WSHP0023,9/27/2025 22:47,Human Resources (HR),Team Management Services,Mumbai,Immediately,"₹ 6,000 - 10,000 /month",6 Months,17 Oct' 25,Nothing,Not Specified,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, MS-Office, Time Management",Not Available
2025WSHP0024,9/27/2025 22:15,AI Product-Solutions,Polygon Pixels LLP,Pune,Immediately,"₹ 10,000 - 30,000 /month",3 Months,15 Oct' 25,Nothing,"4. are from Pune, Hyderabad, Mumbai, Bangalore only","APIs, Artificial intelligence, Artificial Intelligence Markup Language (AIML), ChatGPT, Gemini, Integration Testing, OpenAI API, Perplexity","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025WSHP0025,9/27/2025 20:22,Partnerships And Vendor Onboarding,SkoolSaver,Bangalore,Immediately,"₹ 8,000 - 10,000 /month",1 Month,22 Oct' 25,Nothing,1. Currently pursuing UG/PG (in management/commerce streams).,"Business Development, Effective Communication, Entrepreneurship, Negotiations","Certificate, Letter Of Recommendation, Mentorship"
2025WSHP0026,9/27/2025 22:50,Digital Marketing,Rajlaxmi Solutions Private Limited,Thane,Immediately,"₹ 3,000 - 10,000 /month",3 Months,15 Oct' 25,Nothing,Not Specified,"Search Engine Optimization (SEO), Social Media Marketing",Certificate
2025WSHP0027,9/21/2025 15:11,Content Making,Shyam Sac,Work from home,Immediately,"₹ 20,000 - 65,000 /month",6 Months,6 Nov' 25,Nothing,Not Specified,"Adobe Premiere Pro, Script Writing",Flexible
2025WSHP0028,9/27/2025 22:21,Interim Engineering Intern (Hardware),Qualcomm,Hyderabad,Not Available,Not Available,3 weeks ago,21 Nov' 25,Nothing,Not Specified,"Analytical Thinking, Conflict Management, Verilog",Not Available
2025WSHP0029,9/27/2025 21:36,Content Writing,Outright Systems Private Limited,Delhi,Immediately,"₹ 4,000 - 8,000 /month",4 Months,12 Oct' 25,Nothing,Not Specified,"Blogging, Creative Writing, English Proficiency (Spoken), English Proficiency (Written), Search Engine Optimization (SEO)","Certificate, Letter Of Recommendation, 5 Days A Week"
2025WSHP0030,9/21/2025 15:58,Online Research Methodology Tutor,Narigiri's Connect To Universe Private Limited,Work from home,Immediately,"₹ 1,000 - 8,000 /month",6 Months,Not Available,Nothing,1. Conduct online tutoring sessions to help students understand research concepts and methodologies.,Research and Analytics,"Certificate, Flexible"
2025WSHP0031,9/21/2025 15:16,Graphic Design & Video Editing,Ad Pixxels,Work from home,Immediately,"₹ 5,000 - 20,000 /month",6 Months,15 Oct' 25,Nothing,Not Specified,"Adobe Creative Suite, Canva, Design Thinking, Figma, Graphic Design","Certificate, Flexible"
2025WSHP0032,9/27/2025 20:39,Video Editing/Making,Zinnov Management Consulting,Bangalore,Immediately,"₹ 20,000 - 25,000 /month",3 Months,4 Oct' 25,Nothing,"1. Currently enrolled in or recently graduated from a relevant degree program (e.g. film, media production, communication, or a related field).","Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, DaVinci Resolve, Final Cut Pro, Video Editing, Video Making","Flexible, 5 Days A Week"
2025WSHP0033,9/27/2025 22:30,Sales & Operations,Neuronurture Kids,Mumbai,Immediately,"₹ 10,000 /month",3 Months,11 Oct' 25,Nothing,Not Specified,"Effective Communication, Interpersonal skills, Lead Generation, Operations, Sales, Sales Strategy","Certificate, Flexible, Letter Of Recommendation"
2025WSHP0034,9/27/2025 22:23,Social Media Marketing,Echo Booom,Mumbai,Immediately,"₹ 2,000 - 15,000 /month",6 Months,25 Oct' 25,Nothing,Not Specified,"Content Management, Digital Marketing, Search Engine Optimization (SEO), Social Media Marketing","Certificate, Letter Of Recommendation, Mentorship"
2025WSHP0035,9/27/2025 23:12,Social Media,NoFluff,Mumbai,Immediately,"₹ 8,000 - 15,000 /month",6 Months,14 Oct' 25,Nothing,Not Specified,"Copywriting, Creative Writing, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Written), Social Media Marketing","Letter Of Recommendation, 5 Days A Week"
2025WSHP0036,9/21/2025 16:09,Nothing,Nothing,Not Available,Not Available,Not Available,Not Available,Not Available,Nothing,Not Specified,Not Available,Not Available
2025WSHP0037,9/27/2025 23:12,Accounting & Tally,Evavo Wellness & Solutions LLP,Mumbai,Immediately,"₹ 8,000 - 15,000 /month",6 Months,Not Available,Nothing,Not Specified,"MS-Excel, Tally","Certificate, Letter Of Recommendation"
2025WSHP0038,9/27/2025 22:00,Telemarketing (Female),ASSIGNX GLOBAL SOLUTIONS LLP,Delhi,Immediately,"₹ 10,000 - 15,000 /month",1 Month,1 Oct' 25,Nothing,Not Specified,"Effective Communication, English Proficiency (Spoken), Time Management","Certificate, Letter Of Recommendation"
2025WSHP0039,9/27/2025 20:13,Market Intelligence & Client Engagement Associate,Coldwell Banker Value Add Realty,Bangalore,Immediately,"₹ 5,000 - 15,000 /month",6 Months,23 Oct' 25,Nothing,1. MBA/MCOM students only/B.com/BBA students,Effective Communication,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025WSHP0040,9/27/2025 23:15,3D Developer,Maersk Training,Chennai,Immediately,"₹ 12,000 - 15,000 /month",6 Months,17 Oct' 25,Nothing,Not Specified,"Blender 3D, Unity Engine, Unreal Engine","Certificate, 5 Days A Week"
2025WSHP0041,9/27/2025 21:40,Associate Child Psychologist (Trainee),Heart It Out,Noida,Immediately,"₹ 9,000 - 10,000 /month",6 Months,10 Oct' 25,Nothing,"1. Master’s degree in clinical psychology, child psychology, or applied psychology.","Effective Communication, Interpersonal skills, Psychology, Teaching, Training and Development","Certificate, Letter Of Recommendation, 5 Days A Week"
2025WSHP0042,9/27/2025 22:14,Embedded Engineer (IOT),Ideabytes Software India Private Limited,Hyderabad,Immediately,"₹ 11,000 - 14,000 /month",6 Months,15 Oct' 25,Nothing,Not Specified,"Arduino, ARM Microcontroller, Circuit Modeling & Simulation, Embedded C, I2C, Internet of Things (IoT), RTOS, UART","Certificate, Letter Of Recommendation, 5 Days A Week"
2025WSHP0043,9/27/2025 20:44,Social Sector,Goodera,Bangalore,Immediately,"₹ 15,000 - 20,000 /month",6 Months,Not Available,Nothing,Not Specified,"Community Management, Event Management","Certificate, Flexible, 5 Days A Week"
2025WSHP0044,9/27/2025 23:17,Embedded Systems,Tisteps Private Limited,Chennai,Immediately,"₹ 20,000 - 35,000 /month",6 Months,31 Oct' 25,Nothing,Not Specified,"Arduino, ARM Microcontroller, C++ Programming, Circuit Design, C Programming, EAGLE, Embedded Systems, Internet of Things (IoT)","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025WSHP0045,9/21/2025 16:04,Community Manager,Aathma Foundation,Work from home,Immediately,Unpaid,1 Month,Not Available,Nothing,Not Specified,"Client Relationship, Content Writing, English Proficiency (Spoken), Event Management, MS-Excel, Problem Solving, Public Speaking, Social Media Marketing",Not Available
2025WSHP0046,9/28/2025 9:57,E-commerce Product Listing (Amazon & Flipkart),Rama Motor Company,Pune,Immediately,"₹ 2,000 /month",3 Months,15 Oct' 25,Nothing,"2. Freshers, students, or graduates looking for hands-on learning in product listing.","E-commerce, Effective Communication, MS-Excel","Certificate, Flexible, Letter Of Recommendation"
2025WSHP0047,9/21/2025 14:51,Marketing,KnowledgeChakra,Work from home,Immediately,"₹ 2,000 - 20,000 /month",1 Month,20 Oct' 25,Nothing,Not Specified,Effective Communication,"Certificate, Flexible, Letter Of Recommendation"
2025WSHP0048,9/27/2025 21:05,Search Engine Optimization (SEO),The Monsha's,Delhi,Immediately,"₹ 3,000 - 8,000 /month",6 Months,25 Oct' 25,Nothing,Not Specified,Search Engine Optimization (SEO),"Certificate, Letter Of Recommendation"
2025WSHP0049,9/27/2025 21:09,Apprentice - Technology Associate,ETS India Private Limited,Gurgaon,Immediately,"₹ 15,000 - 18,000 /month",6 Months,23 Oct' 25,Nothing,2. Possess a B.Tech in computer science or IT as specified under the Apprenticeship Act.,MS-Office,"Certificate, Letter Of Recommendation, 5 Days A Week"
2025WSHP0050,9/21/2025 15:27,E-Commerce Sales,KoteModa Lifestyle Private Limited,Work from home,Immediately,"₹ 6,000 - 13,000 /month",3 Months,10 Oct' 25,Nothing,"1. Freshers, students, freelancers, or MBA sales and marketing candidates.","Effective Communication, Negotiations, Sales, Strategy","Certificate, Flexible"
2025WSHP0051,9/28/2025 10:01,Mechanical Engineering,Sulekha Energy Solutions,Pune,Immediately,"₹ 12,000 - 14,000 /month",6 Months,3 Oct' 25,Nothing,1. Candidates who have completed a diploma/BE/ BTech.,"Manual Testing, Quality Assurance/Quality Control (QA/QC)","Certificate, Letter Of Recommendation"
2025WSHP0052,9/27/2025 23:07,Influencer Marketing,Kinetic Management,Mumbai,Immediately,"₹ 5,000 - 12,000 /month",6 Months,1 Oct' 25,Nothing,Not Specified,"Effective Communication, MS-Excel, MS-PowerPoint, Presentation skills, Research and Analytics","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025WSHP0053,9/28/2025 9:55,Nothing,Nothing,Not Available,Not Available,Not Available,Not Available,Not Available,Nothing,Not Specified,Not Available,Not Available
2025WSHP0054,9/27/2025 20:54,HR (Hiring Support),Serve Amigo Technologies Private Limited,Noida,Immediately,"₹ 6,000 - 11,000 /month",2 Months,17 Oct' 25,Nothing,Not Specified,"Attention to Detail, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Google Workspace, Interpersonal skills, MS-Office, Time Management","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025WSHP0055,9/28/2025 10:04,Accounts,SDSR Consultancy Services Private Limited,Kolkata,Immediately,"₹ 10,000 - 15,000 /month",1 Month,24 Oct' 25,Nothing,Not Specified,"Accounting, English Proficiency (Spoken), Interpersonal skills, MS-Excel, MS-Office",Certificate
2025WSHP0056,9/27/2025 21:47,Video Editing/Making,Stirring Minds,Delhi,Immediately,"₹ 4,000 - 6,000 /month",6 Months,8 Oct' 25,Nothing,Not Specified,"Adobe After Effects, Adobe Premiere Pro, Canva, Final Cut Pro, Video Editing","Certificate, Mentorship"
2025WSHP0057,9/27/2025 21:43,Business Development (Sales),Cars24 Services Private Limited,Gurgaon,Immediately,"₹ 14,500 - 23,000 /month",6 Months,15 Oct' 25,Nothing,Not Specified,"B2B Sales, Field Sales, Lead Generation","Certificate, Letter Of Recommendation"
2025WSHP0058,9/21/2025 16:11,Business Development (Sales),TheEndorse,Work from home,Immediately,"₹ 2,000 - 5,000 /month",2 Months,Not Available,Nothing,Not Specified,"Analytical Thinking, Digital Marketing, Effective Communication, Email Marketing, Process Management, Social Media Marketing","Certificate, Flexible, Letter Of Recommendation"
2025WSHP0059,9/27/2025 23:18,Video Editing/Making,Deepsense Digital Solutions Private Limited,Chennai,Immediately,"₹ 8,000 - 10,000 /month",3 Months,8 Oct' 25,Nothing,Not Specified,"Adobe Premiere Pro, Video Editing",Certificate
2025WSHP0060,9/27/2025 21:51,Field Sales,Ceramicapp Pvt Ltd,Chennai,Immediately,"₹ 10,000 /month",6 Months,5 Oct' 25,Nothing,Not Specified,"Effective Communication, English Proficiency (Spoken), Hindi Proficiency (Spoken), Interpersonal skills","Certificate, Flexible, Letter Of Recommendation"
2025WSHP0061,9/28/2025 10:07,Telecalling,Sahaj Retail Limited,Kolkata,Immediately,"₹ 10,000 - 15,000 /month",6 Months,15 Oct' 25,Nothing,Not Specified,"Bengali Proficiency (Spoken), English Proficiency (Spoken), Hindi Proficiency (Spoken)","Certificate, Letter Of Recommendation"
2025WSHP0062,9/21/2025 14:58,College Representative (Marketing),Eduvizo Edtech Private Limited,Work from home,Immediately,"₹ 3,000 - 16,000 /month",1 Month,18 Oct' 25,Nothing,2. Representing Eduvizo at college events and networking with students to generate leads.,"Effective Communication, English Proficiency (Spoken), Leadership, Lead Generation, Social Media Marketing, Teamwork","Certificate, Letter Of Recommendation"
2025WSHP0063,9/27/2025 21:15,Content Writing,Amita Devnani,Gurgaon,Immediately,"₹ 10,000 - 15,000 /month",6 Months,19 Oct' 25,Nothing,Not Specified,"Blogging, Creative Writing, English Proficiency (Spoken), English Proficiency (Written), Social Media Marketing","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025WSHP0064,9/27/2025 22:50,Graphic Design,Kalarra,Mumbai,Immediately,"₹ 3,000 - 5,000 /month",6 Months,15 Oct' 25,Nothing,Not Specified,"Adobe Photoshop, Canva, Video Editing","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025WSHP0065,9/27/2025 20:42,SEO Marketing,Joveo,Bangalore,Immediately,"₹ 25,000 /month",3 Months,2 Oct' 25,Nothing,Not Specified,"Google AdWords, Google Sheets, Looker Studio, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Webflow","Certificate, 5 Days A Week"
2025WSHP0066,9/27/2025 22:05,Software Development,Zoxima Solutions Private Limited,Noida,Immediately,"₹ 15,000 /month",3 Months,Not Available,Nothing,Not Specified,"Artificial intelligence, LangChain, Python","Certificate, Flexible, 5 Days A Week"
2025WSHP0067,9/21/2025 16:01,Game Designer,X1 Race LLP,Work from home,Immediately,"₹ 15,000 - 30,000 /month",2 Months,Not Available,Nothing,Not Specified,"Adobe After Effects, Adobe Illustrator, Autodesk Maya, Blender 3D","Certificate, Flexible, Letter Of Recommendation"
2025WSHP0068,9/27/2025 21:15,E-commerce Amazon Listing Management,Luci Light Studio,Gurgaon,Immediately,"₹ 7,000 - 10,000 /month",3 Months,19 Oct' 25,Nothing,Not Specified,"Content Writing, Graphic Design, Research and Analytics, Search Engine Optimization (SEO), Shopify",Certificate
2025WSHP0069,9/21/2025 15:16,React Native Development,Savant Consulting LLC,Work from home,Immediately,"₹ 8,000 - 12,000 /month",6 Months,15 Oct' 25,Nothing,Not Specified,React Native,"Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025WSHP0070,9/21/2025 16:19,Telecalling,Helper4U Services LLP,Work from home,Immediately,"₹ 10,000 - 12,000 /month",6 Months,Not Available,Nothing,1. Have finished their undergraduate degree,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Kannada Proficiency (Spoken), Kannada Proficiency (Written)","Certificate, Letter Of Recommendation"
2025WSHP0071,9/21/2025 14:51,Backend Development,Lawtech,Work from home,Immediately,"₹ 12,000 /month",6 Months,20 Oct' 25,Nothing,Not Specified,"Claude, C Programming, Django, HTML, Java, Kaggle, LLM evaluation",Not Available
2025WSHP0072,9/21/2025 16:18,Film Production,International Institute Of SDGs & Public Policy Research,Work from home,Immediately,Unpaid,4 Months,Not Available,Nothing,Not Specified,"Adobe Premiere Pro, Video Making","Certificate, Flexible, Letter Of Recommendation"
2025WSHP0073,9/27/2025 23:18,Operations,Tisteps Private Limited,Chennai,Immediately,"₹ 10,000 - 1,50,000 /month",3 Months,23 Oct' 25,Nothing,Not Specified,"Analytical Thinking, Data Extraction, MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Problem Solving","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025WSHP0074,9/21/2025 14:58,Fashion Design And Merchandising,Saqib Shariff,Work from home,Immediately,"₹ 2,000 - 6,000 /month",3 Months,18 Oct' 25,Nothing,Not Specified,"Fashion Designing, Fashion illustration, Fashion Styling, Graphic Design","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025WSHP0075,9/21/2025 14:55,Data Science,Emoolar Technology Private Limited,Work from home,Immediately,"₹ 5,000 - 10,000 /month",3 Months,19 Oct' 25,Nothing,Not Specified,"Artificial intelligence, CNN (Convolutional Neural Network), Data Science, LLM evaluation, Natural Language Processing (NLP), Python","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025WSHP0076,9/27/2025 21:09,Event Management,Aawas Yojana,Dehradun,Immediately,"₹ 10,000 - 31,000 /month",6 Months,31 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), English Proficiency (Written)","Certificate, Flexible, Letter Of Recommendation"
2025WSHP0077,9/27/2025 22:52,sales,Moonstone Hammock,Thane,Immediately,"₹ 10,000 - 15,000 /month",3 Months,12 Oct' 25,Nothing,Not Specified,Client Relationship Management (CRM),Not Available
2025WSHP0078,9/27/2025 22:56,Business Development (Sales),E-Katta Innovators LLP,Aurangabad,Immediately,"₹ 2,000 - 7,000 /month",6 Months,9 Oct' 25,Nothing,Not Specified,"Effective Communication, Interpersonal skills, Planning, Problem Solving, Strategy, Time Management","Certificate, Letter Of Recommendation, Mentorship"
2025WSHP0079,9/27/2025 23:16,Graphic Design,Deepsense Digital Solutions Private Limited,Chennai,Immediately,"₹ 5,000 /month",2 Months,15 Oct' 25,Nothing,Not Specified,"Adobe Illustrator, Adobe Photoshop","Certificate, Flexible, Letter Of Recommendation"
2025WSHP0080,9/21/2025 15:24,Full Stack Development,Cogent Web Services,Work from home,Immediately,"₹ 10,000 /month",3 Months,11 Oct' 25,Nothing,Not Specified,"MERN, Node.js, React","Certificate, Letter Of Recommendation"
2025WSHP0081,9/21/2025 14:53,Voiceover Content Creation,CSTE International,Work from home,Immediately,"₹ 2,000 - 5,000 /month",6 Months,19 Oct' 25,Nothing,Not Specified,"Creativity, Video Editing, Voiceover",Certificate
2025WSHP0082,9/27/2025 20:40,Graphic Design,Green Lakes,Bangalore,Immediately,"₹ 13,000 - 19,000 /month",3 Months,3 Oct' 25,Nothing,Not Specified,"Adobe Illustrator, Adobe Photoshop, AI Image Generation, AI Video Generation, CorelDRAW, Generative AI Tools, UI & UX Design, Video Editing","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025WSHP0083,9/27/2025 21:26,Interior Designer,Chaabee,Ahmedabad,Immediately,"₹ 15,000 - 25,000 /month",6 Months,16 Oct' 25,Nothing,Not Specified,"AutoCAD, Autodesk Revit, Google SketchUp, Lumion","Certificate, Letter Of Recommendation"
2025WSHP0084,9/21/2025 15:42,Project Management,Jarurat Care,Work from home,Immediately,Unpaid,4 Months,5 Oct' 25,Nothing,Not Specified,"Effective Communication, Email Management, Generative AI Tools, Leadership, MS-Office, Notion, Strategy, Team Management","Certificate, Flexible, Letter Of Recommendation, Mentorship"
2025WSHP0085,9/21/2025 16:03,Business Development (Sales),Craft Digital,Work from home,Immediately,"₹ 3,000 - 22,000 /month",2 Months,Not Available,Nothing,Not Specified,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Social Media Marketing","Certificate, Letter Of Recommendation"
2025WSHP0086,9/27/2025 23:15,AI Agent Development,Tisteps Private Limited,Chennai,Immediately,"₹ 30,000 - 40,000 /month",6 Months,5 Nov' 25,Nothing,Not Specified,"APIs, Artificial intelligence, LLM evaluation, PyTorch","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025WSHP0087,9/27/2025 23:05,Community Manager,HourSpace,Mumbai,Immediately,"₹ 8,500 - 15,000 /month",1 Month,2 Oct' 25,Nothing,"1. Bachelor’s degree in communications, marketing, public relations, or a related field.","Community Management, Content Management, Content Marketing, Content Writing, Effective Communication, Graphic Design, Search Engine Optimization (SEO), Social Media Marketing","Certificate, Flexible, Letter Of Recommendation"
2025WSHP0088,9/27/2025 20:58,Human Resources (HR),Corporate Associates,Greater Noida,Immediately,"₹ 6,000 - 18,000 /month",6 Months,26 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel","Certificate, Letter Of Recommendation"
2025WSHP0089,9/27/2025 21:56,Business Development (Sales),QuicLoop,Delhi,Immediately,"₹ 3,000 - 8,000 /month",3 Months,3 Oct' 25,Nothing,Not Specified,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Social Media Marketing","Certificate, Letter Of Recommendation, 5 Days A Week"
2025WSHP0090,9/27/2025 22:10,Partnerships & Outreach,Caarya,Bhubaneswar,Immediately,"₹ 8,000 - 15,000 /month",2 Months,22 Oct' 25,Nothing,"1. Research and identify potential NGO, startup, and student venture partners.","Client Relationship Management (CRM), Cold Calling, Effective Communication, Email Marketing, English Proficiency (Spoken), Google Sheets, Hindi Proficiency (Spoken), Interpersonal skills","Certificate, Flexible, Letter Of Recommendation, Mentorship"
2025WSHP0091,9/27/2025 22:05,Event Management,Design My Wed,Delhi,Immediately,"₹ 6,000 - 7,000 /month",6 Months,Not Available,Nothing,Not Specified,"Canva, Effective Communication, Event Management","Certificate, Letter Of Recommendation"
2025WSHP0092,9/21/2025 15:16,N8N Automation,Muncho Technologies Private Limited,Work from home,Immediately,"₹ 5,000 /month",3 Months,15 Oct' 25,Nothing,Not Specified,"Artificial intelligence, HTTP, JSON","Certificate, Flexible, Letter Of Recommendation"
2025WSHP0093,9/21/2025 15:08,Business Development (Sales),Gorjag,Work from home,Immediately,"₹ 10,000 - 30,000 /month",6 Months,16 Oct' 25,Nothing,Not Specified,"English Proficiency (Written), MS-Excel","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
